id;account_number;external_id;status;sub_status;account_type;submitted_on_date;rejected_on_date;approved_on_date;nominal_annual_interest_rate;interest_compounding_period_type;interest_posting_period_type;interest_calculation_type;interest_calculation_days_in_year_type;min_required_opening_balance;lockin_period_frequency;lockin_period_frequency_type;nominal_annual_interest_rate_overdraft;min_overdraft_for_interest_calculation;min_balance_for_interest_calculation;enforce_min_required_balance;min_required_balance;withdrawal_fee_applicable_for_transfer;allow_overdraft;overdraft_limit
1;Lesotho Steel;invoice PCI;39453;66644;93610;2021-03-25T17:22:15;2021-03-25T11:55:20;2021-03-25T12:34:14;12060;10258;32163;57235;83394;62488;7762;99192;72668;87819;88907;false;15748;true;false;27587
2;vortals connect;Shoes Generic Steel Sausages Car;17087;48224;17627;2021-03-25T11:32:11;2021-03-26T05:47:48;2021-03-25T11:55:07;86834;90918;46149;36595;1954;53054;27024;25253;27592;15835;91516;true;28527;true;false;94730
3;Awesome Concrete Bal;niches silver Metrics;83923;13001;22557;2021-03-25T20:21:50;2021-03-25T12:05:37;2021-03-26T01:19:18;8621;18287;43852;90069;64921;65920;75511;28310;49079;9368;32368;true;79377;false;true;95579
4;Grocery;Bacon Team-oriented Automotive;46014;12324;95055;2021-03-25T18:23:25;2021-03-25T13:51:38;2021-03-25T10:38:01;14121;41076;12067;84680;35717;76712;91640;78882;32482;27325;25617;false;70565;true;true;95225
5;Unbranded;innovative;6636;88169;81216;2021-03-26T03:32:42;2021-03-25T23:18:46;2021-03-25T11:14:36;47565;5830;23962;52151;22641;80066;86737;40820;577;23717;27941;false;64544;true;false;73676
6;mint green Jewelery;SSL Handcrafted;70190;5681;792;2021-03-25T15:18:22;2021-03-25T14:19:39;2021-03-25T19:01:23;89068;10446;17949;67192;19673;89711;87587;9936;81319;21665;28371;true;35467;false;true;24971
7;strategic Ergonomic ;payment Money Market Account;9294;88394;84137;2021-03-26T01:19:09;2021-03-26T09:51:01;2021-03-25T20:46:19;24464;70991;69380;75965;66847;38263;58931;6975;37608;97722;23077;true;7152;false;true;18073
8;Uzbekistan Sum Bedfo;brand;7702;19000;11206;2021-03-26T03:31:56;2021-03-26T08:11:43;2021-03-25T13:56:44;62350;78433;33616;69805;69254;12869;60529;82859;35356;69954;26211;true;57349;true;true;89551
9;deploy even-keeled A;Plastic;20524;44501;50769;2021-03-26T08:41:18;2021-03-26T00:40:03;2021-03-25T23:49:32;26459;3359;9512;32210;69520;71190;27692;13528;32246;13504;97262;false;57434;false;true;42977
10;interfaces Fantastic;Democratic People's Republic of Korea cross-platform azure;37986;53296;15664;2021-03-26T02:27:51;2021-03-25T19:18:48;2021-03-26T07:01:54;23352;47602;68399;20245;54356;3033;77640;61622;40738;38240;85835;false;79848;false;true;40521
